NOMBPROV,CANT_LECTURA,PRACTICA_LECTURA,IDIOMA,PERS_NRO,ESTRATOSOCIO
RIOJA,140,80.6621331228045,10,3.79750225309939,16.6666666666667
RODRIGUEZ DE MENDOZA,27,72.6190476190476,10,3.73809523809524,30.952380952381
SAN ANTONIO DE PUTINA,38,27.2435897435897,10,3.49358974358974,0
SAN IGNACIO,74,72.9602456367162,10,3.80180133591898,7.61904761904762
SAN MARCOS,6,100,10,3.5,0
SAN MARTIN,157,73.3717833483139,10,3.90387695995206,62.280701754386
SAN MIGUEL,51,78.5185185185185,10,3.6962962962963,0
SAN PABLO,3,100,10,3.33333333333333,0
SAN ROMAN,266,39.854859272335,10,3.48209168273893,21.756398940865
SANCHEZ CARRION,41,35,10,3.63472222222222,0
SANDIA,24,12.5,10,3.91666666666667,0
SANTA,454,84.7430623148323,10,3.7051210268447,31.842239164868
SANTA CRUZ,8,50,10,3.625,0
SANTIAGO DE CHUCO,35,72.7272727272727,10,3.5,0
SATIPO,79,71.0002434680096,10,3.69852509642615,0
SECHURA,75,79.0481947130883,10,3.74245647969052,6.91489361702128
SIHUAS,20,95,10,3.9,0
SULLANA,175,76.1993880673126,10,3.9109530285002,48.4905660377359
TACNA,578,66.2211285264356,10,3.67992227897897,15.4666060505869
TAHUAMANU,65,92.3249299719888,10,3.68037060978237,6.66666666666667
TALARA,81,73.959938366718,10,4.11633281972265,78.8135593220339
TAMBOPATA,586,71.8019480519481,10,3.7270689033189,17.8888888888889
TARATA,27,82.5925925925926,10,3.36666666666667,0
TARMA,34,77.7777777777778,10,3.59722222222222,6.94444444444444
TAYACAJA,184,77.7046527046527,10,3.76399668066335,7.20720720720721
TOCACHE,49,83.0555555555556,10,4.14861111111111,25
TRUJILLO,376,49.4275827893577,10,3.92465843327492,41.254215542522
TUMBES,457,84.8185791867191,10,3.84542834856579,26.6157151897803
UCAYALI,83,66.2525879917184,10,4.75103519668737,0
URUBAMBA,43,51.1261261261261,10,3.93918918918919,33.3333333333333
UTCUBAMBA,222,79.8890603463774,10,3.4274217954096,26.8918918918919
VICTOR FAJARDO,16,81.25,10,3.5,0
VILCAS HUAMAN,12,83.3333333333333,10,3.25,0
VIRU,30,12.5,10,3.54166666666667,0
YAROWILCA,20,0,10,3.6,0
YAULI,48,98.2456140350877,10,4.34324447482342,10.5263157894737
YAUYOS,8,37.5,10,4.875,0
YUNGAY,33,75.7352941176471,10,4.35845588235294,0
YUNGUYO,22,18.1818181818182,10,3.77272727272727,40.9090909090909
ZARUMILLA,161,84.1948297604036,10,3.64323455233291,5.66204287515763
